Brand,Wine,Rating,Price
Santo Cristo,Viña Ainzon Garnacha 2023,"3,5","€4,70"
Vinos Alex,Alex Sensación Red 2016,"3,4",€5
Palacio del Canto,Monastrell 2021,"3,6","€5,02"
Vidal del Saz,Don Quijote y Rosinante Tempranillo 2020,"3,6","€5,02"
Bodegas Yuntero,Ortiga Tempranillo 2023,"3,2","€5,22"
Autentico,Organic Tinto 2021,"3,3","€5,49"
Bodegas Milenium,Pardal Tempranillo 2021,"3,1","€5,52"
Cañadelas,Crianza 2019,"3,7","€5,58"
Bodegas Vinos-Espana,Tarantinto El Cacho Barrica 2020,"3,6","€5,58"
Castaño,Parcelas Ecológico Monastrell 2021,"3,6","€5,58"
Pasos de la Capula,Tempranillo 2023,"3,3","€5,59"
Marqués del Turia,Tinto (Bobal - Syrah) 2022,"3,2","€5,60"
Bodegas Yuntero,Pure Organic Shiraz 2022,"2,9","€5,65"
Bodegas Yuntero,Mundo de Yuntero Tempranillo - Syrah 2023,"3,5","€5,65"
Bodegas Yuntero,Pure Organic Merlot 2023,"2,8","€5,65"
Santo Cristo,Flor de Añón Roble 2021,"3,3","€5,65"
Biotiful,Organic Merlot 2022,"3,1","€5,90"
Bodegas Yuntero,Ortiga Tempranillo 2022,"3,2","€5,95"
Bodegas Yuntero,Mundo de Yuntero Tempranillo - Syrah 2022,"3,5","€5,95"
Covila,Tinto 2020,"3,3","€5,95"
Bodegas Yuntero,Mundo de Yuntero Tempranillo - Syrah 2021,"3,5","€5,95"
Bodega Picos,Loteta 2022,"3,4","€5,95"
Bodegas Latúe,Clearly Organic Tempranillo 2019,"3,3","€5,95"
Viriatus,Viriatus Tempranillo 2019,"3,3","€5,99"
Terrai,OVG Old Vine Garnacha 2021,"3,8","€6,29"
Cruz de Alba,Ribera del Duero (Crianza) 2020,"4,1","€19,95"
Bruno Murciano,L'Alegria Bobal Arcilla 2021,"4,1","€19,95"
De Moya,Sofia 2019,"4,2","€19,95"
Legón,Ribera del Duero Reserva 2019,"4,0","€22,90"
Legón,Ribera del Duero Premium 2019,"4,0","€19,95"
Bodegas Diaz Bayo,Nuestro 20 Meses 2015,"4,2","€22,90"
La Rioja Alta,Viña Alberdi Reserva 2019,"4,2","€19,95"
Artuke,Pies Negros Rioja 2022,"4,0","€19,95"
VALENCISO,Laderas de Cabama Rioja 2021,"3,9","€19,95"
Covitoro,Bos Tinta de Toro Roble 2021,"3,7","€19,90"
Bodega Buen Camino,Ribera Del Duero 2017,"4,0","€19,90"
Venta La Vega - Bodegas Almanseñas,Adaras Huella Garnacha Tintonera - Monastrell 2019,"3,7","€19,90"
Can Gelat,Ecològic Callet 2023,"4,1","€19,90"
Dominio de Anza,Diego Magaña 2020,"4,2","€19,87"
Pardevalles,Gamonal 2020,"3,8","€19,75"
Casa Rojo,Tintafina 2019,"4,1","€21,95"
Prieto Pariente,Vinedos de La Provincia 2018,"4,0","€19,75"
Bodega Bruno Ruiz - Esencia Rural,Pampaneo Tempranillo 2021,"3,7","€19,58"
Bodega Bruno Ruiz - Esencia Rural,Pampaneo Tempranillo 2023,"3,6","€19,58"
Bodegas Gratias,Got Bobal 2020,"3,9","€19,50"
Acustic Celler,Ritme Vinyes Velles Boniques 2021,"4,0","€19,50"
Bodegas Manzanos,Crianza 2020,"4,1","€19,50"
Finca Enguera,Mas Enguera 2021,"4,0","€19,50"
Lafou,El Sender 2020,"4,0","€19,50"
Vivanco,Selección de Familia Reserva 2017,"4,0","€19,50"
Altanza,Edulis de Altanza Rioja Reserva. 2017,"4,1","€19,45"
Muruve,Reserva 2016,"4,0","€19,45"
Valderiz,De Chiripa 2021,"3,8","€19,45"
Suertes del Marqués,7 Fuentes 2020,"3,7","€19,40"
Guimaro,Camiño Real 2021,"3,9","€19,35"
Antídoto,Tinto 2021,"4,1","€19,30"
Pago del Cielo,Celeste Crianza 2021,"4,1","€19,25"
Venta d'Aubert,Ventus 2016,"3,7","€19,10"
Raíz de Guzmán,Crianza 2018,"4,0","€18,95"
Grandes Pagos Gallegos,Fraga do Corvo Mencia 2021,"4,0","€18,95"
Diez Caballero,Reserva Tempranillo 2017,"3,8","€18,95"
U MES U,El Vol de Nit 2017,"3,9","€18,95"
Costers del Sió,Alto Siós 2021,"4,1","€21,95"
Viña Otano,Gran  Reserva 2016,"4,0","€18,95"
Artuke,Pies Negros Rioja 2021,"3,9","€18,95"
Finca Río Negro,Red Blend 2017,"4,0","€18,95"
Lacrimus,Reserva 2016,"4,1","€18,95"
Bodegas Care,Finca Bancales Viñas Viejas Garnacha 2020,"4,1","€18,95"
Rafael Cambra,La Forcallà de Antonia Fontanars Dels Alforins 2022,"3,8","€18,95"
Bodegas Olarra,Cerro Añon Rioja Gran Reserva 2018,"4,2","€18,95"
Bigardo,Tinto 2018,"4,0","€18,95"
Adega Ponte da Boga,P Mencía 2022,"3,7","€18,95"
Can Sumoi,Sumoll - Garnatxa 2020,"3,9","€18,95"
Museum,Reserva 2019,"4,1","€18,95"
Quinta Milú,La Cometa 2016,"3,8","€18,95"
